duration	increase_rate	decrease_rate_1	decrease_rate_3	g-r	r-i	A	B	C	D	chi2	A_over_B
0.024817726771289017	-7.122167374858228e-05	0.0	0.0	0.3130413602666214	0.22054377515712886	-0.0006311941905901008	22.711496852187906	0.0	1.5000000000000002	0.0007694585939530872	-2.7791835769261282e-05
22.99396811724	0.0	0.004394802566702906	0.005313110941635457	0.3242617633377791	0.2254009634284437	0.006726190175423419	21.440343998466176	0.1893979710403073	9.97146260724063	0.3280469899388312	0.00031371652320058877
0.0	0.0	0.04485922897425226	0.008399082215799157	0.33979040894007584	0.22174876735567858	0.01103745387624322	18.627513406101627	-1.4860903652788693	0.07168154864234258	19.89549940141256	0.0005925350118190113
0.0	0.0	0.00404876837465886	0.003054815627603213	0.35454345781056334	0.22072646399210533	0.00575879923953071	23.494463696860066	-9875023.534087429	2.4592248771062297	0.0024703795151150352	0.0002451130323226041
0.024389172045630403	0.0	0.0147043325297017	0.005715046357408208	0.08662622214550707	0.2269444366691012	0.018714773169468124	23.924150016264832	-1.923223807044451	0.018961466592598855	0.1200040321841805	0.0007822544649128553
50.313190129563736	-0.006748155094805507	0.0	0.0	0.23837598010216018	0.27316374216670347	-0.011924577945380932	23.388885929181527	83.15424922761213	0.6276443730463245	0.7628737908552589	-0.0005098395016114486
24.83250486922043	0.0	0.0015877782963592839	0.0005995481625516859	0.3005563522942808	0.22013972895923775	0.0017515379543722176	21.003770558118617	-0.023479004868931952	3.897121578183307	0.5875889645035872	8.33915962624717e-05
0.0	0.0	0.004255222862930998	0.004113817984109941	0.2675851910668789	0.21674625982792026	0.006461865925936117	22.01781063037589	0.06944321252831287	8.05845403623431	0.022604567634665732	0.0002934835817427411
0.024085171171464026	0.0	0.008386696468162149	0.003331511284772441	0.31565802820076233	0.7865441844543661	0.01111645594048305	18.81291757445564	-1.3862222323468814	1.184983069546181	41.860217637245334	0.0005908948410839306
0.024614817899418995	0.0	0.004782744978051342	0.003557758933632083	0.37093665364822015	0.2413715092640462	0.009963015274244924	21.85084163021304	0.7110662472196054	2.311194979831701e-05	0.020112708809614698	0.0004559556763465402
0.024400678717938717	0.0	0.004017273426614188	0.0012004338445539312	0.3249127269999903	-0.848540327612481	0.007393548164427166	18.578492815070888	-1.431273051323842	1.1452226918128425	13.646028693041266	0.0003979627539231554
0.0	0.0	0.005634947907001646	0.00290708092069734	0.945267254578792	0.2059042506109866	0.006370515592019288	19.975013640100315	-3.198018625568693	0.06353700295948227	1.0550555726394495	0.00031892421736475445
0.02429516149277333	0.0	0.006473438042989807	0.003593279384901747	0.45095615065990663	0.22570963244493536	0.001013986099932751	23.355778419205137	-4.310590044334276	0.005267341560893195	0.053894246377978995	4.341478505802933e-05
3.9548012576633482	0.0	0.0010791000130780807	0.0014994212131225438	0.18481457115755476	0.22782738168488859	0.008796750504663109	20.0163952813121	0.8409662643916818	0.010058332804738519	3.7456166369135206	0.00043947725756974913
16.22689314755553	-0.03882281285777491	0.004694146393822304	0.0008816634550739486	0.25156559366294384	0.2361144846461275	0.0032853354607302876	19.765221933968405	1.8999369418625065	0.4055719130449148	23.15010339240754	0.00016621798994749092
3.8918931891021202	-0.005795984577492493	0.0002587003403460907	9.690012215031474e-05	0.2163957183486572	0.13678435549407247	0.0009187822316096828	23.92239927545762	1104.4714402018917	0.7527042457284263	0.015861916974275928	3.8406776052445394e-05
0.0	0.0	0.03476354713719543	0.005742504846897395	0.4518944067848576	0.21883830964268897	0.00793783305459339	18.547096758830833	-1.9145936329077813	0.0583974792920181	49.81327397862498	0.000427982511646409
0.023784997363691218	0.0	0.0	0.0			-0.0027743998572402617	25.770453502467717	-5.813838389916782	0.00835099209650803	2.7602256633232347	-0.00010765816973203796
0.0	0.0	0.0008942535996375843	0.0009064493731111073	0.314138176644601	0.21524528206093882	0.006478591271382506	21.674175920267032	0.06351279771297413	9.350018725632804	0.22899246679999774	0.0002989083089117368
0.0	0.0	0.0006707020023760425	0.0006503524314303906	0.25563298426583003	0.5143128107708925	0.0034480486240315855	19.24821805159212	-0.7974554445372632	0.007003519136061623	3.514122279167584	0.00017913599143513337
0.02411156094603939	0.0	0.06304221445220103	0.003171262033052839	0.31473166021208043	0.4197328999447283	0.008992101980502376	20.050992050857133	-3.4287073644863995	0.03213942470667509	188.01087980776086	0.0004484616999345918
0.07445585216919426	0.0	0.0	0.0	1.5477236159283372	0.2005989967513102	0.008761254208239144	20.419142428505438	0.46231933669787395	0.027832554441276473	0.6575801984389522	0.00042907062521922067
0.02461895750457188	-1.939174703374379e-05	0.006003044406166863	0.0011443892973194273	0.3128698292710146	0.2160625668890323	0.0024722425259815495	21.101463158271656	-0.4750076242189607	3.4297604320567334	9.797313033450715	0.00011715976790038108
0.0	0.0	0.06056787472586496	0.001970224692112533	0.1791720820515573	0.7284725711613618	0.003847916729311507	19.54373953793288	-2.330617804915164	0.030853205371341324	189.99299831669722	0.00019688743404725587
											
